"requestedManager","canonicalManager","fundName","vehicleType","lifecycle","northAmericaBasis","currentHoldingName","vintage","strategies","structure","fundStatus","size","sizeBasis","repoDisposition","matchedLegacyIds","changedFields","confidence"
"Morgan Stanley Infrastructure Partners","Morgan Stanley Infrastructure Partners","North Haven Infrastructure Partners II","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2018","Value-Add","Closed-End","Financial Close","$3.6B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-119A","sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Morgan Stanley Infrastructure Partners","Morgan Stanley Infrastructure Partners","North Haven Infrastructure Partners","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Chicago Parking Meters","Not disclosed in opened evidence","Value-Add","Closed-End","Financial Close","Not disclosed in opened evidence","","PROPOSED_NEW","","","MEDIUM"
"Mubadala","Mubadala Investment Company","Mubadala Infrastructure","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Value-Add","Permanent Capital","Evergreen","—","","PROPOSED_CORRECTION","FUND-123","regions","MEDIUM"
"Northleaf Capital","Northleaf Capital Partners","Northleaf Essential Infrastructure Fund","NAMED_FUND","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core","Evergreen","Evergreen",">$1.0B","","PROPOSED_CORRECTION","FUND-125","fundName","HIGH"
"Northleaf Capital","Northleaf Capital Partners","Northleaf Infrastructure Capital Partners IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2023","Core-Plus","Closed-End","Financial Close","$2.6B","","PROPOSED_CORRECTION","FUND-126","fundName","HIGH"
"OMERS Infrastructure","OMERS Infrastructure","OMERS Infrastructure","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core-Plus","Permanent Capital","Evergreen","C$32.5B infrastructure investments","","PROPOSED_CORRECTION","FUND-127","investmentStrategy | size | sizeUsdMm | sizeAsOf | regions","MEDIUM"
"OMERS Infrastructure","OMERS Infrastructure","OMERS Infrastructure Strategic Partnership Program","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Direct ChassisLink, Inc.","2013","Co-Investments","Open-End","Evergreen","Not disclosed","","PROPOSED_NEW","","","MEDIUM"
"Ontario Teachers Pension Plan","Ontario Teachers' Pension Plan","Infrastructure","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core | Core-Plus","Permanent Capital","Evergreen","C$34.5B net investments","AUM","PROPOSED_CORRECTION","FUND-128","fundName | investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies | sectors | regions","MEDIUM"
"QIC Global Infrastructure","QIC","QIC Global Infrastructure Fund","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","CenTrio","Unknown","Core-Plus","Closed-End","Financial Close","Not publicly disclosed","","PROPOSED_NEW","","","HIGH"
"Quinbrook Infrastructure Partners","Quinbrook Infrastructure Partners","Quinbrook Net Zero Power Fund (NZPF)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2024","Value-Add","Closed-End","Financial Close","$3.0B capital commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-131","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Stonepeak","Stonepeak","Stonepeak Infrastructure Fund IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Core-Plus","Closed-End","Financial Close","$14.0B final close","FINAL_CLOSE","PROPOSED_NEW","","","HIGH"
"Tiger Infrastructure Partners","Tiger Infrastructure Partners","Tiger Infrastructure Partners Fund IV","NAMED_FUND","RAISING","VERIFIED_CURRENT_NA_HOLDING","Bolder Industries","2024","Value-Add","Closed-End","Raising","[$2.0B]","","EXISTING_VERIFIED","FUND-144","","HIGH"
"TPG","TPG","TPG Peppertree Fund X","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2023","Opportunistic","Closed-End","Financial Close","$2.0B","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-145","sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Vision Ridge Partners","Vision Ridge Partners","Vision Ridge Sustainable Asset Fund III","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Opportunistic","Closed-End","Financial Close","$1.25B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-148B","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Vision Ridge Partners","Vision Ridge Partners","Vision Ridge Sustainable Asset Fund IV","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","VEMO","2026","Opportunistic","Closed-End","Financial Close","$2.4B final close","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-149","investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf","HIGH"
"Tallvine","Tallvine Partners","Tallvine Middle Market Infrastructure Fund I, L.P.","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2024","Value-Add","Closed-End","Raising","$701.7M amount sold","AMOUNT_SOLD","PROPOSED_CORRECTION","FUND-142","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | vintage | sectors | sourceUrls","HIGH"
