company_name,country,current_owner_investment_firm,current_ownership_vehicle,investment_year,verified_fund_vehicle_result,result_status,evidence_urls,evidence_type,confidence,proposed_seed_data_action,notes
Texas Microgrid Entities (Generate ER-NG),United States,Generate Capital,"Generate Capital, PBC",2022,"Generate Capital, PBC",Verified fund - missing from funds list,https://www.whitecase.com/insight-alert/summary-ferc-meeting-agenda-february-2023; https://generatecapital.com/; https://www.ferc.gov/media/e-17-el23-7-000; https://generatecapital.com/cities-and-campuses/,manager/company ownership source; company/manager page; supporting source; supplemental source,High,"Review adding or aliasing ""Generate Capital, PBC"" in fund data before updating ownershipVehicle.","Matched supplemental ownership detail: Firm: Generate Capital | Fund: Generate Capital, PBC | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts."
Ubiquity,United States,Generate Capital,"Generate Capital, PBC",2022,"Generate Capital, PBC",Verified fund - missing from funds list,https://www.businesswire.com/news/home/20220119005739/en/Generate-Capital-Expands-into-Smart-Cities-in-Partnership-with-Ubiquity-to-Build-Advanced-Sustainable-Digital-Infrastructure-Networks; https://ubiquitygp.com/ubiquity-secures-over-400-million-of-green-debt-construction-financing-to-expand-leading-open-access-fiber-network-deployments/; https://ubiquitygp.com/,press release; financing/filing source; company/manager page; supplemental source,High,"Review adding or aliasing ""Generate Capital, PBC"" in fund data before updating ownershipVehicle.","Matched supplemental ownership detail: Firm: Generate Capital | Fund: Generate Capital, PBC | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts."
Viridis Initiative,United States,Generate Capital,Joint Venture (Generate & McKinstry),2023,Joint venture with McKinstry,Disclosed but generic,https://www.mckinstry.com/news/generate-capital-and-mckinstry-launch-viridis-initiative-to-accelerate-decarbonization-of-institutional-buildings/; https://generatecapital.com/cities-and-campuses/; https://viridisinitiative.com/why-viridis/our-origin-story/,manager/company ownership source; supporting source; supplemental source; manager page,Medium,Keep generic disclosure only if preferred; otherwise review whether n.a. is cleaner.,"Matched supplemental ownership detail: Firm: Generate Capital | Fund: Joint venture with McKinstry | Ownership Interest: Not publicly disclosed. Disclosure identifies a generic vehicle, account, client pool, or transaction structure rather than an exact fund."
ACES Delta,United States,GIC,GIC Infrastructure (Equity Syndication Consortium),2022,GIC Infrastructure (Equity Syndication Consortium),Disclosed but generic,https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://www.energy.gov/edf/advanced-clean-energy-storage; https://aces-delta.com/media/us-doe-closes-504-4-million-loan-to-advanced-clean-energy-storage-project-for-hydrogen-production-and-storage/,manager/company ownership source; supplemental source,Medium,No seed-data action suggested.,Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure (Equity Syndication Consortium) | Ownership Interest: Not publicly disclosed. Supplemental detail supports the current generic vehicle label but does not identify a distinct exact fund.
ACES Delta,United States,OTPP,"Haddington ESP I, LP",2022,"Haddington ESP I, LP",Verified fund - missing from funds list,https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/; https://www.energy.gov/edf/advanced-clean-energy-storage,manager/company ownership source; supplemental source,High,"Review adding or aliasing ""Haddington ESP I, LP"" in fund data before updating ownershipVehicle.","Matched supplemental ownership detail: Firm: Ontario Teachers' Pension Plan Board | Fund: Haddington ESP I, LP | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts."
ACES Delta,United States,AIMCo,"Haddington ESP I, LP",2022,"Haddington ESP I, LP",Verified fund - missing from funds list,https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/; https://www.energy.gov/edf/advanced-clean-energy-storage,manager/company ownership source; manager page; supplemental source,High,"Review adding or aliasing ""Haddington ESP I, LP"" in fund data before updating ownershipVehicle.","Matched supplemental ownership detail: Firm: AIMCo | Fund: Haddington ESP I, LP | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts."
ACES Delta,United States,AIMCo,"Haddington ESP I, LP",2022,"Haddington ESP I, LP",Verified fund - missing from funds list,https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/; https://www.energy.gov/edf/advanced-clean-energy-storage,manager/company ownership source; manager page; supplemental source,High,"Review adding or aliasing ""Haddington ESP I, LP"" in fund data before updating ownershipVehicle.","Matched supplemental ownership detail: Firm: AIMCo | Fund: Haddington ESP I, LP | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts."
Direct ChassisLink Inc. (DCLI),United States,GIC,GIC Infrastructure (Joint buyout with OMERS and Wren House),2022,GIC Infrastructure (Joint buyout with OMERS and Wren House),Verified fund - missing from funds list,https://dcli.com/resource/gic-omers-infrastructure-and-wren-house-to-acquire-dcli/; https://www.omersinfrastructure.com/news/omers-wins-m-and-a-award-for-dcli-investment; https://dcli.com/; https://dcli.com/about-us/,press release; manager/company ownership source; company/manager page; supplemental source; manager page,High,"Review adding or aliasing ""GIC Infrastructure (Joint buyout with OMERS and Wren House)"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure (Joint buyout with OMERS and Wren House) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
"Divert, Inc.",United States,GIC,GIC Infrastructure (Co-Investor),2021,GIC Infrastructure (Co-Investor),Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/divert-inc-secures-100-million-investment-from-ara-partners-gic-and-ontario-power-generation-pension-fund-to-accelerate-deployment-of-diverts-patented-technologies-301305306.html; https://divertinc.com/divert-inc-announces-significant-business-momentum/; https://divertinc.com/,press release; manager/company ownership source; company/manager page; supplemental source,High,"Review adding or aliasing ""GIC Infrastructure (Co-Investor)"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure (Co-Investor) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Duke Energy Indiana,United States,GIC,Epsom Investment Pte. Ltd,2021,Epsom Investment Pte. Ltd,Verified fund - missing from funds list,https://news.duke-energy.com/releases/duke-energy-partners-with-gic-to-secure-minority-investment-in-duke-energy-indiana-increases-long-term-eps-growth-rate; https://news.duke-energy.com/releases/duke-energy-and-gic-close-first-phase-of-minority-investment-in-duke-energy-indiana; https://www.sec.gov/Archives/edgar/data/1326160/000110465921008865/tm214472d1_8k.htm,press release; manager/company ownership source; SEC/filing; manager page,High,"Review adding or aliasing ""Epsom Investment Pte. Ltd"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: Epsom Investment Pte. Ltd. | Ownership Interest: 19.9% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Equinix xScale Data Centers (United States JV),United States,GIC,n.a.,2024,n.a.,n.a.,https://investor.equinix.com/news-events/press-releases/detail/1053/equinix-agrees-to-form-greater-than-15b-jv-to-expand; https://www.lw.com/en/news/latham-watkins-advises-cpp-investments-in-us15-billion-joint-venture-with-equinix-and-gic; https://www.kirkland.com/news/press-release/2024/10/kirkland-advises-gic-on-15-billion-coinvestment-in-dip-with-cppib-equinix,press release; company/manager page; supporting source; supplemental source; manager page,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure | Ownership Interest: 37.5% Supplemental detail discloses only the owner/manager name, not a distinct fund."
ITC Holdings Corp.,United States,GIC,Finn Investment Pte. Ltd. / Eiffel Investment Pte. Ltd,2016,Finn Investment Pte. Ltd. / Eiffel Investment Pte. Ltd,Verified fund - missing from funds list,https://www.gic.com.sg/newsroom/news/fortis-completes-the-minority-investor-process-in-connection-with-the-pending-acquisition-of-itc-holdings-corp/; https://www.sec.gov/Archives/edgar/data/1666175/000110465916151600/a16-19757_6ex99d1.htm; https://www.itc-holdings.com/about-our-company-itc-holdings/itcs-history/,press release; SEC/filing; company/manager page; supplemental source; manager page,High,"Review adding or aliasing ""Finn Investment Pte. Ltd. / Eiffel Investment Pte. Ltd"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: Finn Investment Pte. Ltd. / Eiffel Investment Pte. Ltd. | Ownership Interest: 19.9% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Oncor Electric Delivery Company LLC,United States,GIC,Cheyne Walk Investment Pte. Ltd,2008,Cheyne Walk Investment Pte. Ltd,Verified fund - missing from funds list,https://www.torys.com/work/2008/11/ea6d722d-2ece-417f-92ad-29261e2fc82b; https://www.sec.gov/Archives/edgar/data/1032208/000119312518000589/d494912dex993.htm; https://www.oncor.com/investorrelations; https://www.oncor.com/content/dam/oncorwww/documents/investorrelations/financial-news/Q4%202025%20Oncor%20Earnings%20Release.pdf,manager/company ownership source; SEC/filing; supplemental source,High,"Review adding or aliasing ""Cheyne Walk Investment Pte. Ltd"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: Cheyne Walk Investment Pte. Ltd. | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Oncor Electric Delivery Company LLC,United States,OMERS,OMERS Infrastructure,2008,OMERS Infrastructure,Verified fund,https://www.torys.com/work/2008/11/ea6d722d-2ece-417f-92ad-29261e2fc82b; https://www.sec.gov/Archives/edgar/data/1032208/000119312518000589/d494912dex993.htm,manager/company ownership source; SEC/filing,High,No seed-data action suggested.,Seed milestones or source evidence explicitly name the current fund vehicle.
"Red de Carreteras de Occidente, S.A.B. de C.V.",Mexico,GIC,n.a.,2020,n.a.,n.a.,https://www.abertis.com/news/abertis-y-gic-cierran-la-compra-del-72-de-red-de-/?lang=en; https://www.fitchratings.com/research/infrastructure-project-finance/fitch-affirms-red-de-carreteras-de-occidente-sr-secured-notes-at-bbb-outlook-stable-07-03-2025; https://redviacorta.mx/acerca-de-nosotros; https://www.mundys.com/sites/default/files/documents/Press%20Release-2020-06-04-1043.pdf,manager/company ownership source; financing/filing source; supporting source; supplemental source; manager page,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure | Ownership Interest: 21% Supplemental detail discloses only the owner/manager name, not a distinct fund."
Reworld,United States / Canada,GIC,n.a.,2025,n.a.,n.a.,https://www.reworldwaste.com/news-resources/newsroom/eqt-broadens-reworld-investor-base-welcoming-gic-as-strategic-investor; https://hl.com/about-us/transactions/reworld-eqt-gic/; https://eqtgroup.com/news/covanta-and-eqt-infrastructure-to-create-the-leading-sustainable-waste-solutions-provider-driving-compelling-value-for-all-stakeholders; https://www.reworldwaste.com/; https://eqtgroup.com/about/current-portfolio/reworld,press release; manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: GIC | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Reworld,United States / Canada,EQT Infrastructure,EQT Infrastructure V,2021,EQT Infrastructure V,Verified fund - missing from funds list,https://www.reworldwaste.com/news-resources/newsroom/eqt-broadens-reworld-investor-base-welcoming-gic-as-strategic-investor; https://hl.com/about-us/transactions/reworld-eqt-gic/; https://eqtgroup.com/news/covanta-and-eqt-infrastructure-to-create-the-leading-sustainable-waste-solutions-provider-driving-compelling-value-for-all-stakeholders; https://www.reworldwaste.com/; https://eqtgroup.com/about/current-portfolio/reworld,press release; manager/company ownership source; supplemental source,High,"Review adding or aliasing ""EQT Infrastructure V"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: EQT | Fund: EQT Infrastructure V | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Tallgrass Energy,United States,Blackstone,n.a.,2019,n.a.,n.a.,https://www.blackstone.com/news/press/blackstone-infrastructure-partners-closes-purchase-of-controlling-interest-in-tallgrass-energy/; https://www.sec.gov/Archives/edgar/data/1284214/000119312520044554/d840488dsc13ea.htm; https://www.tallgrassenergy.com/; https://www.blackstone.com/news/press/blackstone-infrastructure-partners-to-acquire-tallgrass-energy/,manager/company ownership source; SEC/filing; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Blackstone Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Tallgrass Energy,United States,CPP Investments,Sustainable Energies,2024,Sustainable Energies,Verified fund - missing from funds list,https://www.blackstone.com/news/press/blackstone-infrastructure-partners-closes-purchase-of-controlling-interest-in-tallgrass-energy/; https://www.sec.gov/Archives/edgar/data/1284214/000119312520044554/d840488dsc13ea.htm; https://www.tallgrass.com/; https://www.cppinvestments.com/newsroom/cpp-investments-acquires-stake-in-u-s-energy-infrastructure-company-tallgrass-energy/; https://www.blackstone.com/news/press/blackstone-infrastructure-partners-to-acquire-tallgrass-energy/,manager/company ownership source; SEC/filing; supplemental source; manager page,High,"Review adding or aliasing ""Sustainable Energies"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: CPP Investments | Fund: Sustainable Energies | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Tallgrass Energy,United States,GIC,Jasmine Ventures Pte. Ltd,2019,Jasmine Ventures Pte. Ltd,Verified fund - missing from funds list,https://www.blackstone.com/news/press/blackstone-infrastructure-partners-closes-purchase-of-controlling-interest-in-tallgrass-energy/; https://www.sec.gov/Archives/edgar/data/1284214/000119312520044554/d840488dsc13ea.htm; https://tallgrass.com/newsroom/press-releases/blackstone-infrastructure-partners-enters-into-definitive-agreement-to-acquire-controlling-interest-in-tallgrass-energy; https://tallgrass.com/,manager/company ownership source; SEC/filing; supplemental source,High,"Review adding or aliasing ""Jasmine Ventures Pte. Ltd"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: Jasmine Ventures Pte. Ltd. | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
WaterBridge Resources,United States,GIC,GIC Infrastructure (Minority Stake),2019,GIC Infrastructure (Minority Stake),Verified fund - missing from funds list,https://www.prnewswire.com/news-releases/five-point-energy-sells-minority-equity-stake-in-leading-water-midstream-company-waterbridge-resources-to-global-long-term-investor-gic-300852497.html; https://www.kirkland.com/news/press-release/2019/05/kirkland-counsels-gic-on-purchase-of-minority-equi; https://h2obridge.com/; https://h2obridge.com/news/news-details/2025/Sed-ut-perspiciatis-unde-omnis/default.aspx,press release; manager/company ownership source; company/manager page; manager page; supplemental source,High,"Review adding or aliasing ""GIC Infrastructure (Minority Stake)"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure (Minority Stake) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Wecom Fiber,United States,Searchlight,n.a.,2023,n.a.,n.a.,https://wecomfiber.com/wecom-and-searchlight-capital-partners/; https://www.lw.com/en/news/latham-watkins-advises-searchlight-capital-partners-on-strategic-investment-in-wecom; https://docs.fcc.gov/public/attachments/DA-24-820A1.pdf,press release; manager/company ownership source; manager page; supplemental source,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: Searchlight Fiber Alliance, LLC | Fund: Not publicly disclosed. | Ownership Interest: 77.83% equity / 66.67% voting. Supplemental detail states the fund was not publicly disclosed."
Wecom Fiber,United States,GIC,Epsom Investment Pte. Ltd,2023,Epsom Investment Pte. Ltd,Verified fund - missing from funds list,https://www.lw.com/en/news/latham-watkins-advises-searchlight-capital-partners-on-strategic-investment-in-wecom; https://wecomfiber.com/wecom-and-searchlight-capital-partners/; https://docs.fcc.gov/public/attachments/DA-24-820A1.pdf; https://docs.fcc.gov/public/attachments/DOC-397850A1.pdf,press release; manager/company ownership source; supplemental source,High,"Review adding or aliasing ""Epsom Investment Pte. Ltd"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: GIC | Fund: Epsom Investment Pte. Ltd. | Ownership Interest: 46.74% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Aligned Data Centers,United States,Macquarie Asset Management,MIP IV / MIP V and related vehicles,2018,MIP IV / MIP V and related vehicles,Verified fund - missing from funds list,https://www.macquarie.com/au/en/about/news/2025/macquarie-asset-management-to-lead-sale-of-aligned-data-centers-at-an-enterprise-value-of-us-40-billion.html; https://aligneddc.com/press-release/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/; https://aligneddc.com/press-release/aligned-energy-announces-new-strategic-investment-by-macquarie-infrastructure-partners/; https://aligneddc.com/; https://www.macquarie.com/au/en/about/company/macquarie-asset-management/our-portfolio/aligned-data-centers.html,press release; manager/company ownership source; supplemental source; manager page,High,"Review adding or aliasing ""MIP IV / MIP V and related vehicles"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Macquarie Asset Management | Fund: MIP IV / MIP V and related vehicles | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Aligned Data Centers,United States,Mubadala,n.a.,2023,n.a.,n.a.,https://aligneddc.com/press-release/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/; https://www.macquarie.com/au/en/about/news/2025/macquarie-asset-management-to-lead-sale-of-aligned-data-centers-at-an-enterprise-value-of-us-40-billion.html; https://aligneddc.com/blog/mubadala-invests-in-aligned-data-centers/; https://aligneddc.com/; https://www.blackrock.com/corporate/newsroom/press-releases/article/corporate-one/press-releases/blackrock-acquires-aligned-data-centers,press release; manager/company ownership source; manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Mubadala Investment Company | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
"ALLETE, Inc.",United States,CPP Investments,Real Assets (Infrastructure),2025,Real Assets (Infrastructure),Verified fund - missing from funds list,https://investor.allete.com/news-releases/news-release-details/allete-enters-agreement-be-acquired-partnership-led-canada; https://investor.allete.com/news-releases/news-release-details/allete-announces-completion-acquisition-cpp-investments-and; https://www.allete.com/; https://allete.blob.core.windows.net/allete/Documents/Investors/AnnualReports/2024AR.pdf; https://www.cppinvestments.com/newsroom/allete-enters-agreement-to-be-acquired-by-a-partnership-led-by-canada-pension-plan-investment-board-and-global-infrastructure-partners-to-advance-sustainability-in-action-strategy/,press release; manager/company ownership source; supplemental source,High,"Review adding or aliasing ""Real Assets (Infrastructure)"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: CPP Investments | Fund: Real Assets (Infrastructure) | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
"ALLETE, Inc.",United States,Global Infrastructure Partners,n.a.,2025,n.a.,n.a.,https://investor.allete.com/news-releases/news-release-details/allete-enters-agreement-be-acquired-partnership-led-canada; https://investor.allete.com/news-releases/news-release-details/allete-announces-completion-acquisition-cpp-investments-and; https://www.allete.com/; https://allete.blob.core.windows.net/allete/Documents/Investors/AnnualReports/2024AR.pdf; https://www.cppinvestments.com/newsroom/allete-enters-agreement-to-be-acquired-by-a-partnership-led-by-canada-pension-plan-investment-board-and-global-infrastructure-partners-to-advance-sustainability-in-action-strategy/,press release; manager/company ownership source; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Atlas Renewable Energy,United States,Global Infrastructure Partners,n.a.,2022,n.a.,n.a.,https://atlasrenewableenergy.com/news-and-insights/gip-and-actis-announce-acquisition-of-atlas-renewable-energy-by-gip-usa/; https://www.prnewswire.com/news-releases/gip-and-actis-announce-acquisition-of-atlas-renewable-energy-by-gip-301645902.html; https://atlasrenewableenergy.com/,manager/company ownership source; press release; company/manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Bluepoint Wind,United States,Global Infrastructure Partners,n.a.,2022,n.a.,n.a.,https://bluepointwind.com/ocean-winds-east-awarded-lease-area-in-new-york-bight-offshore-wind-energy-auction/; https://www.oceanwinds.com/projects/bluepoint-wind/; https://www.nyserda.ny.gov/-/media/Project/Nyserda/Files/EE/RGGI/Bluepoint-Wind_RGGI-2026.pdf; https://bluepointwind.com/the-project/,press release; supporting source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
Clearway Energy Group,United States,Global Infrastructure Partners,n.a.,2018,n.a.,n.a.,https://www.clearwayenergygroup.com/press-releases/clearway-energy-group-launches-operations/; https://totalenergies.com/news/press-releases/united-states-totalenergies-acquires-50-clearway-5th-largest-us-renewable; https://www.clearwayenergygroup.com/; https://www.clearwayenergygroup.com/about/leadership/,manager/company ownership source; transaction source; company/manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: 50% Supplemental detail states the fund was not publicly disclosed.
Eolian,United States,Global Infrastructure Partners,GIP IV,2020,GIP IV,Verified fund - missing from funds list,https://www.eolianenergy.com/press/global-infrastructure-partners-announces-acquisition-of-map-energys-renewable-energy-business; https://www.eolianenergy.com/press/eolian-acquires-remaining-ownership-interests-in-able-grid-energy-solutions; https://www.eolianenergy.com/,press release; transaction source; company/manager page; supplemental source; manager page,High,"Review adding or aliasing ""GIP IV"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: GIP IV | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Revolution Wind & South Fork Wind,United States,Global Infrastructure Partners,n.a.,2024,n.a.,n.a.,https://www.businesswire.com/news/home/20240930672791/en/Eversource-Energy-Completes-Exit-of-Offshore-Wind-Business; https://www.skybornrenewables.com/articles/newsroom/skyborn_enters_us_joint_venture; https://revolution-wind.com/about-revolution-wind; https://www.utilitydive.com/news/eversource-offshore-wind-exit-loss-orsted-gip/728634/; https://www.eversource.com/content/residential/about/news-room/massachusetts/news-releases/eversource-completes-sale-of-offshore-wind-stakes,press release; company/manager page; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Skyborn Renewables / Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: 50% Supplemental detail states the fund was not publicly disclosed.
Rio Grande LNG,United States,GIC,n.a.,2023,n.a.,n.a.,https://investors.next-decade.com/news-releases/news-release-details/nextdecade-announces-positive-final-investment-decision-rio; https://corporate.totalenergies.us/news/totalenergies-and-its-partners-make-final-investment-decision-rglng-project-texas; https://www.sidley.com/en/newslanding/newsannouncements/2023/07/sidley-represents-gic-in-its-commitment-to-nextdecade-new-us18-billion-lng-project; https://investors.next-decade.com/news-releases/news-release-details/nextdecade-announces-positive-final-investment-decision-and,manager/company ownership source; supplemental source; manager page,High,No seed-data action suggested.,"Matched supplemental ownership detail: Firm: GIC | Fund: GIC Infrastructure | Ownership Interest: Not publicly disclosed. Supplemental detail discloses only the owner/manager name, not a distinct fund."
Rio Grande LNG,United States,Mubadala,MIC TI Holding LLC,2023,MIC TI Holding LLC,Verified fund - missing from funds list,https://corporate.totalenergies.us/news/totalenergies-and-its-partners-make-final-investment-decision-rglng-project-texas; https://investors.next-decade.com/news-releases/news-release-details/nextdecade-announces-positive-final-investment-decision-rio; https://www.riograndelng.com/; https://www.next-decade.com/rio-grande-lng/; https://www.federalregister.gov/documents/2023/09/05/2023-19122/change-in-control-notice-regarding-rio-grande-lng-llc-and-rio-bravo-pipeline-company-llc,manager/company ownership source; supplemental source,High,"Review adding or aliasing ""MIC TI Holding LLC"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Mubadala Investment Company | Fund: MIC TI Holding LLC | Ownership Interest: 6.57% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Rio Grande LNG,United States,Global Infrastructure Partners,n.a.,2023,n.a.,n.a.,https://investors.next-decade.com/news-releases/news-release-details/nextdecade-announces-positive-final-investment-decision-rio; https://corporate.totalenergies.us/news/totalenergies-and-its-partners-make-final-investment-decision-rglng-project-texas; https://www.riograndelng.com/; https://www.next-decade.com/rio-grande-lng/; https://www.federalregister.gov/documents/2023/09/05/2023-19122/change-in-control-notice-regarding-rio-grande-lng-llc-and-rio-bravo-pipeline-company-llc,manager/company ownership source; supplemental source,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: 46.12% Supplemental detail states the fund was not publicly disclosed.
Saavi Energía,Mexico,Global Infrastructure Partners,n.a.,2021,n.a.,n.a.,https://www.global-infra.com/news/gip-acquires-saavi-energia-a-leading-independent-power-generator-in-mexico/; https://www.saavienergia.com/en/about-saavi/; https://www.saavienergia.com/en/; https://www.saavienergia.com/en/our-sites/,press release; company/manager page; supporting source; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: Global Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
The AES Corporation,United States,Global Infrastructure Partners,EQT Infrastructure VI,2026,EQT Infrastructure VI,Verified fund,https://www.aes.com/energy-insights/consortium-led-global-infrastructure-partners-and-eqt-agrees-acquire-aes; https://www.prnewswire.com/news-releases/consortium-led-by-global-infrastructure-partners-and-eqt-agrees-to-acquire-aes-302700916.html; https://www.aes.com/,press release; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: EQT | Fund: EQT Infrastructure VI | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
The AES Corporation,United States,EQT Infrastructure,EQT Infrastructure VI,2026,EQT Infrastructure VI,Verified fund,https://www.aes.com/energy-insights/consortium-led-global-infrastructure-partners-and-eqt-agrees-acquire-aes; https://www.prnewswire.com/news-releases/consortium-led-by-global-infrastructure-partners-and-eqt-agrees-to-acquire-aes-302700916.html; https://www.aes.com/,press release; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: EQT | Fund: EQT Infrastructure VI | Ownership Interest: Not publicly disclosed. Verified fund matches an existing fund-list entry.
